"","Station Number","Station Name","River","Status","First Date","Last Update","Level","Moderate Flood Risk","High Flood Risk","Bank Full","Maximum Depth","Maximum Width","Maximum Flow","Elevation","Latitude","Longitude"
"","JB001","Luuq","Juba","Functional","Jan. 1, 1951","Dec. 22, 2023","2.06m","5.5m","6.0m","7.0m","9.0m","140.0m","1800.0m","140.0","42.5426400000001","3.79172000000005"
"","JB002","Bardheere","Juba","Functional","Jan. 1, 1963","Dec. 22, 2023","0.0m","7.4m","8.2m","10.4m","8.0m","100.0m","1800.0m","87.0","42.28115","2.33989000000003"
"","JB009","Dollow","Juba","Functional","Jan. 1, 2015","Dec. 22, 2023","2.44m","4.5m","5.0m","6.0m","-","-","-","177.0","42.079382","4.18777"
"","JB010","Bualle","Juba","Functional","Jan. 1, 2008","Dec. 22, 2023","6.8m","9.0m","10.0m","12.0m","-","-","-","51.0","42.5731700000001","1.24477000000007"
"","SH001","Belet Weyne","Shabelle","Functional","Jan. 1, 1963","Dec. 22, 2023","6.3m","6.5m","7.3m","8.3m","7.0m","44.0m","500.0m","182.0","45.2059600000001","4.73598000000004"
"","SH002","Bulo Burti","Shabelle","Functional","Jan. 1, 1963","Dec. 22, 2023","8.0m","6.5m","7.2m","8.0m","8.0m","42.0m","-","133.0","45.5672700000001","3.85702000000003"
"","SH004","Jowhar","Shabelle","Functional","Jan. 1, 1999","Dec. 22, 2023","4.9m","5.0m","5.25m","5.5m","5.5m","33.0m","-","105.0","45.5048600000001","2.77872000000002"
"","SH003","Mahadey Weyne","Shabelle","Non Functional","Jan. 1, 1963","Dec. 31, 1990","-","-","-","-","-","32.0m","-","115.0","45.53038","2.97098000000005"
