"Category","Flow (m3/s)"
0,
1,
2,
3,
4,
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
4.364712017908323,1
